cellLine,culture,marker,val
Bliley,Parental,CD34,0.1321586
Bliley,Parental,CD44,794.3319
Bliley,Parental,CD90,0
Bliley,Parental,Sca1,0.04679376
Bliley,Parental,CD117,0
Bliley,Parental,CD133,0.00660066
Bliley,Parental,CD24,0
Bliley,Parental,Oct3/4,0.4762186
Bliley,Spheroid,CD34,0.9403973
Bliley,Spheroid,CD44,1291.816
Bliley,Spheroid,CD90,1.394604
Bliley,Spheroid,Sca1,0.9478261
Bliley,Spheroid,CD117,0.1555556
Bliley,Spheroid,CD133,0.02843602
Bliley,Spheroid,CD24,0
Bliley,Spheroid,Oct3/4,0.1980165
Jenny,Parental,CD34,0.6363636
Jenny,Parental,CD44,20.18791
Jenny,Parental,CD90,1.924488
Jenny,Parental,Sca1,0.05839416
Jenny,Parental,CD117,0
Jenny,Parental,CD133,0
Jenny,Parental,CD24,0
Jenny,Parental,Oct3/4,0.9134701
Jenny,Spheroid,CD34,0.02412869
Jenny,Spheroid,CD44,250.0881
Jenny,Spheroid,CD90,2.134783
Jenny,Spheroid,Sca1,0.1308411
Jenny,Spheroid,CD117,0.007936508
Jenny,Spheroid,CD133,0.222973
Jenny,Spheroid,CD24,0.6368287
Jenny,Spheroid,Oct3/4,0
Gracie,Parental,CD34,0.0625
Gracie,Parental,CD44,34.51551
Gracie,Parental,CD90,0
Gracie,Parental,Sca1,0.002272727
Gracie,Parental,CD117,0
Gracie,Parental,CD133,0.07083333
Gracie,Parental,CD24,0.01834862
Gracie,Parental,Oct3/4,0.1995614
Gracie,Spheroid,CD34,0
Gracie,Spheroid,CD44,269.937
Gracie,Spheroid,CD90,0
Gracie,Spheroid,Sca1,0.04303087
Gracie,Spheroid,CD117,0.03660714
Gracie,Spheroid,CD133,0.1328125
Gracie,Spheroid,CD24,0.1621622
Gracie,Spheroid,Oct3/4,0.1489362
